param,magnitude,unit,sign,mean_cm,median_cm,p95_cm,max_cm,Nose_mean_cm,L_Eye_mean_cm,R_Eye_mean_cm,L_Ear_mean_cm,R_Ear_mean_cm,L_Shoulder_mean_cm,R_Shoulder_mean_cm,L_Elbow_mean_cm,R_Elbow_mean_cm,L_Wrist_mean_cm,R_Wrist_mean_cm,L_Hip_mean_cm,R_Hip_mean_cm,L_Knee_mean_cm,R_Knee_mean_cm,L_Ankle_mean_cm,R_Ankle_mean_cm
rx,5.0,deg,-,10.749314677699923,10.428198228796429,12.743605289624927,13.305043363998195,10.460256320058473,10.408001074002406,10.512348504592744,10.34900692582903,10.685377071336559,10.179081399318651,10.96403046226829,10.005966164167097,11.149209873449282,10.044860280558181,11.181637775522447,10.572086358113717,11.055154525716995,10.861082054357881,11.33381452470672,11.278266826528185,11.698169380372018
ry,0.05,deg,+,0.1935492169046977,0.19518585338551414,0.20022246995757367,0.20566220483920267,0.19372282173414404,0.19337602975046803,0.19372344698597976,0.19307023620101757,0.19417890800116813,0.19329986065646756,0.19577765409942038,0.1930504635301035,0.19653457434651503,0.19273322703512497,0.19629982272248808,0.1938543974813343,0.19551722866275337,0.19194046110117377,0.1937312372882954,0.1886928117613448,0.19083350602206217
ry,0.05,deg,-,0.1935416032582734,0.19517120059743412,0.20024208798327384,0.2056036569277354,0.19370979555372314,0.19336176715918776,0.19371055252135932,0.1930543571728066,0.19416713832752128,0.19328437329074954,0.1957698570799408,0.19303646777007025,0.19653024852884704,0.19272097693089188,0.19629667928800099,0.19384702565299067,0.19551413280548224,0.19193750671776982,0.19373076721967028,0.18869761104874405,0.19083799832289297
ry,0.1,deg,+,0.387077228167759,0.3903420973052639,0.40042533042065354,0.4113054232842149,0.38742006546678925,0.3867261582471132,0.3874216156965145,0.38611441485894044,0.3883325572514401,0.38657386892439083,0.3915309584809584,0.38607650118441794,0.39304580622978524,0.3854428613307383,0.3925770131917466,0.3876873803673412,0.391013142428568,0.38386578306550134,0.38744606779064106,0.3773803029808845,0.38165838135613206
ry,0.1,deg,-,0.3871044498641374,0.3903723856654514,0.40050380240957206,0.41115830137404447,0.3874452280267971,0.38674949480000914,0.3874464397936161,0.3861348282104555,0.3883595815352638,0.3865946629279998,0.3915640983573736,0.3860974145180342,0.3930838711010783,0.38546553528418,0.3926160263253867,0.38771552039154006,0.3910496166468086,0.38389019099277494,0.38747796405015017,0.3774005509227372,0.38168462380613044
ry,0.5,deg,+,1.934887461377516,1.9511666316612737,2.0013939323609735,2.0575853612463018,1.9365450895477154,1.9330814653101867,1.9365594443133265,1.930037763760276,1.9411004153950948,1.93233671725296,1.9570692422808338,1.9298729317974816,1.9646296842544524,1.926708279339016,1.9622916489130589,1.9379300243494948,1.9545087451913645,1.918943677975511,1.9367783988726608,1.8866965091860775,1.9079968056782617
ry,0.5,deg,-,1.9360294358673433,1.9524651365058676,2.0033061706063577,2.0546040051450354,1.9377923162471504,1.9343079984122262,1.9377912861459572,1.931219557130913,1.9423688701624955,1.9335185421137668,1.9584123885395937,1.9310109644289526,1.966024277715127,1.9278485493828508,1.9636796975606658,1.9390945686665904,1.9558114863195604,1.9198436960857614,1.9378460343628996,1.887211117785394,1.9087190586849292
ry,1.0,deg,+,3.8686306324836073,3.9011086943802016,4.000847634531214,4.118040204353389,3.871838393019457,3.8649311012756407,3.8718814046215493,3.8588863882908395,3.880922058678793,3.8634895165030465,3.912782868165992,3.8586141299794257,3.9278543592122834,3.8522872006248563,3.923188522641169,3.8746981032169647,3.9077102962162296,3.836992611929642,3.872485540449986,3.7728884126439683,3.815269844751485
ry,1.0,deg,-,3.873256482004244,3.9061952275351217,4.008579412519386,4.106202592486359,3.8769048754230395,3.869917922434208,3.876885473575119,3.863697792143387,3.886070281595238,3.868299900362493,3.9182201056813617,3.863243513212126,3.933488436323102,3.856920284820954,3.9287926238997657,3.8794142234995608,3.9129704276201527,3.8406291150061165,3.876790070241038,3.774947945089619,3.8181672031448657
ry,2.0,deg,+,7.732817600379166,7.798176303774888,7.993811665236324,8.247349920035504,7.738843000519113,7.7251131324075475,7.738979774119037,7.713195130705346,7.756871451024118,7.722440139825884,7.820252495735137,7.712917011315541,7.850183659672159,7.700278217830777,7.84089831088194,7.744901271997789,7.810294512460951,7.670516815573566,7.740754838411718,7.543800698367373,7.627658745597832
