sigma_rot_deg,sigma_trans_mm,trial,mean_cm,median_cm,p95_cm,max_cm,drx_rad,dry_rad,drz_rad,dtx_m,dty_m,dtz_m,Nose_mean_cm,L_Eye_mean_cm,R_Eye_mean_cm,L_Ear_mean_cm,R_Ear_mean_cm,L_Shoulder_mean_cm,R_Shoulder_mean_cm,L_Elbow_mean_cm,R_Elbow_mean_cm,L_Wrist_mean_cm,R_Wrist_mean_cm,L_Hip_mean_cm,R_Hip_mean_cm,L_Knee_mean_cm,R_Knee_mean_cm,L_Ankle_mean_cm,R_Ankle_mean_cm
0.1,1,34,0.36856076336497584,0.37787741265885083,0.49372985336595016,0.5129873704399424,-0.0035782253395521177,-8.502965199905186e-05,-0.0014717144569092332,-0.0012188130604236281,-0.0008781523669287508,-0.0003341234407008121,0.36433780802529203,0.362910880569296,0.36788064543126503,0.3579205931808699,0.37232801980703256,0.3432033457242653,0.3758905745308172,0.3315807136751612,0.3813792877004012,0.3369623511928988,0.38651017096646956,0.3543707742238556,0.3748941891355329,0.3689971894688628,0.3889668446205653,0.3904294361044533,0.4069701528475507
0.1,1,35,0.5990803181836908,0.5998125193298929,0.6275529623727268,0.6554311868864362,0.001598551499149925,-0.002314992009903119,5.3462040057284445e-05,-0.0004841694333335785,-0.00032767309436196085,0.0010027578253046041,0.587851112321491,0.5860424765806242,0.5870878687490755,0.5852677773983769,0.5888879182112773,0.5905580113320705,0.5983151550667186,0.5949077988034382,0.6052996474485954,0.5970916693493116,0.6069203672339376,0.6042661057057706,0.609408322327196,0.6075844051016752,0.6132345623883212,0.6075957574232914,0.6140464536815711
0.1,1,36,0.49457423086416485,0.4963885642758914,0.5226883988805086,0.5356335995726995,0.000939188613152664,0.002334200038481676,-0.0002696632815941046,-0.0006959426116707031,-0.00022385881688049953,0.0002424967912712216,0.49275537502455546,0.49151295252894783,0.4930069436937958,0.49042123664440623,0.49522120604679526,0.4902780631026944,0.5011545063990289,0.48902724372120177,0.5044291753659654,0.48901445640801,0.5045065815580052,0.49437428002562034,0.5013053963317343,0.4917015768293948,0.49879346901973,0.4864089913934856,0.4938504705974312
0.1,1,37,0.4337372474553651,0.4265471225203029,0.47623646644261547,0.49293927940834287,0.0003081786476321421,-0.0018926142229826347,0.00015793446288170793,0.00022822833013890514,0.0025174740375339204,0.0018768446112816702,0.42783871927440514,0.4268717816263232,0.42709927108403895,0.42722621733419125,0.42890886291178637,0.4313720544063567,0.43533728385739806,0.4341038075818591,0.4385560553552267,0.4336833156986669,0.4377690384097814,0.4378270913777662,0.44032005571818533,0.4369657103333211,0.4395317389924391,0.4333979445960315,0.43672425818343025
0.1,1,38,0.1909444820934514,0.2046918506695248,0.27967475480459547,0.28738490816819784,-0.001489190578799961,-0.0005015785874482395,-0.002554188134403261,-0.0005907070139634865,0.0003156050035903405,0.0012058536208882336,0.23520798197665546,0.2392783629942851,0.2396854621153483,0.23951494055192168,0.240298130624327,0.2143349582726215,0.21973272489902196,0.188272560793486,0.1981032622383558,0.1735582300552193,0.18809407817564547,0.16301378712904938,0.16724875460612346,0.1381333759389002,0.1407824315463194,0.13147529660153348,0.12932185706986027
0.1,1,39,0.26837054917956293,0.27904923132339277,0.3675323092012675,0.4053704990837496,-0.0012724913491702074,-0.001141700916938281,-0.003747726356089396,-0.00016266592054490768,-0.0010624144118595632,-0.0005294394273660738,0.34061974665041506,0.3472318334987861,0.3468076314405343,0.3501760491249778,0.3489136889551221,0.31523930070568734,0.3186910079987935,0.27483644057113693,0.2809534718326943,0.2442040204911255,0.25756037220588796,0.23094480278343255,0.23363474307916254,0.1817663865684061,0.18241391364177978,0.15536136827656546,0.15294455822806202
0.1,1,40,0.19128397556058094,0.2280530606421634,0.3047527596017741,0.31488889153456695,-0.0015304107660624026,-0.0001645191933046902,-0.0030678147784956654,-0.0014670452453909907,0.002129247112028298,-0.001287422581274031,0.21016461297583447,0.21377525344872406,0.21525346312544383,0.21166629386192515,0.21380026794503454,0.18569434340208602,0.19224036840141823,0.16617931276066777,0.17719962216227597,0.16777881776899886,0.17823431858866037,0.16025184778844692,0.16210045281943908,0.183409296838363,0.18536979782220062,0.21514870879914721,0.21356080602121016
0.1,1,41,0.7659643631717932,0.7732009363284211,0.9903369130057833,1.0721922570709732,-0.0019142519532424043,0.003206018914363304,0.005070298709483644,-0.0011715666288253418,-0.00036824895678803053,0.00034155555094050953,0.8433377043773763,0.850106499225868,0.849699546002685,0.857467799141325,0.859798467205964,0.8224350119767373,0.8396495960459102,0.7743792411940493,0.7992220668309841,0.7261361032696342,0.7598999066684614,0.7306484714630186,0.7433057970447228,0.6619177025863953,0.674188381774503,0.6061182373997448,0.623083641713104
0.1,1,42,0.5239581560918829,0.5295901906035709,0.5684894153768899,0.6001142489577072,0.003017146566634772,-0.0017223905265184652,-0.00042809059938892283,0.000777337576061744,0.00043476607446661864,-0.0003761560712300993,0.5131068173181511,0.5111443934181786,0.5140195951431771,0.5099147250362975,0.5193485431878945,0.5084391257284203,0.5306588828084104,0.5056272907342628,0.537249208861511,0.5052435281451544,0.5367531185557228,0.5223542700698411,0.5363325028614134,0.5284100549309495,0.5424821622507643,0.5362382359081047,0.5499661986037552
0.1,1,43,0.5327676457454962,0.5346014616831773,0.5642021277705909,0.5725773952607778,-0.0002335651345584458,-0.0023996458727925194,-0.00041569160241599143,-0.0002663874900089551,0.00023216988962625597,-0.0005553272188190161,0.5442215897597478,0.5441087077871472,0.5451038553754032,0.5432744310620699,0.5462928233916472,0.5388756082077826,0.5462709646399252,0.5325748587016972,0.5436034920802947,0.5279004997219107,0.5400753046281959,0.5288724012013357,0.5340232162395406,0.5155924389466191,0.5211177965491282,0.4991460243769637,0.505995965004025
0.1,1,44,0.40844004838062536,0.4109861622220088,0.435637038684302,0.4423321690793655,0.0008229899768402187,0.001767522540798307,0.0002712753521975854,0.00035175640839920345,5.315534757786736e-05,8.439309141418043e-08,0.4187003522048977,0.41877637727243905,0.4195545442523257,0.41828288839449934,0.4208908674705028,0.4137943234258133,0.4204736223295057,0.4077270731298483,0.4177105617801001,0.4034911408745817,0.41454175661878323,0.40412722323899186,0.408766140529714,0.3929554374795854,0.39788566215037924,0.37995864942325014,0.38584420189541396
0.1,1,45,0.2974845679695787,0.3051648694270323,0.32775637976150407,0.33304900790355574,-0.0012593563429538373,0.0005523866929867723,-0.0001697971460380883,0.002093168308930595,0.0015733549024752424,0.0003858465525565008,0.2907083245306386,0.28965700195722704,0.2906161480460339,0.2883129643853334,0.2908201987626811,0.28990699671626563,0.29477604163147847,0.2921777794683803,0.29954159630936744,0.29572814470033876,0.30254681831631625,0.29908782316075094,0.30224564834831996,0.3041329680203235,0.3076997524303994,0.3078463315532833,0.31143311714569993
0.1,1,46,0.4801355605641476,0.47810526453130453,0.5549550377297991,0.5672620569602836,-0.001331786069025449,-0.0019415242823067299,0.0020789366393329056,0.0002627492251471385,0.00048014340339161085,-0.0017445859869741926,0.44067118541405403,0.43650996804483727,0.43871628891641284,0.43481440447303105,0.4413576746758611,0.4490980117099197,0.46173797660402777,0.4652136719661147,0.48159256398332495,0.47959415859921306,0.4927943356088568,0.49308718654849865,0.4998675556807629,0.5212819513976097,0.527837900382318,0.5467251760867483,0.5514045194989188
0.1,1,47,0.3059613501243389,0.3031403289524642,0.39199142194336367,0.4319540468565197,0.0016186855112886964,0.0007931131089866844,-0.0019380671558206725,-0.000471524807449949,0.00026371720435651956,5.246679835624363e-05,0.278697963182612,0.2766860328253857,0.27787166451597806,0.27828120071106094,0.2838147958457863,0.28528165810386724,0.2993735770174244,0.2921149167431377,0.31003309920413713,0.2967607658557185,0.31277721072738507,0.311286193321347,0.31893418522519673,0.33077885522161743,0.3376905933360096,0.35290627925313756,0.3580539610239598
0.1,1,48,0.09929589312736736,0.10168614924231359,0.1251985833472714,0.13148200204682342,-0.000509934917172815,-0.00018062110149375213,-0.00043978348902531554,0.00015256251210246858,0.001471491972993157,-0.0025666584409312974,0.09219029716768372,0.09134477595877481,0.092177184931962,0.08974663423721013,0.0916153429719858,0.09079644648719964,0.0937266779967301,0.09377612102701971,0.09761150670231905,0.09880271725284684,0.10147215769722645,0.10077156129330525,0.1022785620692845,0.1086338482730941,0.10998506709965278,0.11627012763213293,0.11683115436681754
